Recipient,Total,From Individuals,From Organization,Recipient Type,View
Make America Great Again Inc,1000000,1000000,0,Outside Group,Conservative
MAGA Inc,1000000,1000000,0,Carey,Conservative
Republican National Cmte,344914,344914,0,Political Party,Republican
National Republican Senatorial Cmte,143020,143020,0,Political Party,Republican
Democratic Congressional Campaign Cmte,125490,120490,5000,Political Party,Democrat
DNC Services Corp,125055,125055,0,Political Party,Democrat
"Harris, Kamala",123424,123424,0,Candidate (D-PRES),Democrat
Mission Iowa,90000,90000,0,Outside Group,Conservative
Democratic Senatorial Campaign Cmte,87874,87874,0,Political Party,Democrat
"Ryan, Pat",49513,49513,0,Candidate (D-NY18),Democrat
Republican Party of California,40000,40000,0,Political Party,Republican
Defending Main Street,36700,36700,0,Outside Group,Conservative
"Haley, Nikki",28830,28830,0,Candidate (R-PRES),Republican
"Smith, Adam",28100,23100,5000,Candidate (D-WA09),Democrat
Democratic Party of Nevada,26609,26609,0,Political Party,Democrat
"Goodlander, Maggie",24000,24000,0,Candidate (D-NH02),Democrat
"Crow, Jason",23500,23500,0,Candidate (D-CO06),Democrat
"Gallagher, Mike",23100,23100,0,Candidate (R-WI08),Republican
"Hickenlooper, John",21750,21750,0,Candidate (D-COS2),Democrat
"Heinrich, Martin",21650,21650,0,Candidate (D-NMS1),Democrat
Washington State Democratic Central Cmte,20489,20489,0,Political Party,Democrat
"Riley, Josh",20251,20251,0,Candidate (D-NY19),Democrat
"Cornyn, John",18685,13685,5000,Candidate (R-TXS1),Republican
Democratic Party of Arizona,18309,18309,0,Political Party,Democrat
New Jersey Democratic State Cmte,16609,16609,0,Political Party,Democrat
Democratic Party of Montana,16609,16609,0,Political Party,Democrat
"Khanna, Ro",16500,16500,0,Candidate (D-CA17),Democrat
"Rogers, Mike D",15900,14900,1000,Candidate (R-AL03),Republican
"Wittman, Rob",15401,10401,5000,Candidate (R-VA01),Republican
New York Republican Federal Campaign Cmte,15000,15000,0,Political Party,Republican
"Calvert, Ken",14900,9900,5000,Candidate (R-CA41),Republican
"McCormick, Dave",14799,14799,0,Candidate (R-PAS2),Republican
"Trump, Donald",14005,14005,0,Candidate (R-PRES),Republican
"Dixon, Peter",13900,13900,0,Candidate (D-CA16),Democrat
National Republican Congressional Cmte,13500,13500,0,Political Party,Republican
"Ernst, Joni",13200,13200,0,Candidate (R-IAS2),Republican
"Tester, Jon",12752,12752,0,Candidate (D-MTS1),Democrat
